epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,23.7574,1.17144,1.804,2.17537,0.00511,2.53024,0.36463,0.15333,0.09897,0.06179,0.36463,0.15333,0.10353,0.06227,1.05929,2.33775,3.19925,0.01191,0,0.000717875,0.000717875,0.000717875
45,24.2673,1.21812,1.8505,2.18491,0.00501,2.55518,0.36463,0.15333,0.09897,0.06179,0.36463,0.15333,0.10353,0.06227,1.05929,2.33775,3.19925,0.01191,0,0.0007055,0.0007055,0.0007055
46,24.7791,1.16826,1.9312,2.20671,0.00502,2.6899,0.3251,0.25667,0.1009,0.05988,0.31766,0.25667,0.10461,0.05709,1.01205,2.25439,3.24287,0.01156,0,0.000693125,0.000693125,0.000693125
47,25.29,1.16514,1.86319,2.20769,0.00481,2.55137,0.33879,0.31624,0.0982,0.05615,0.32579,0.29444,0.09778,0.05448,1.04779,2.31879,3.18734,0.01236,0,0.00068075,0.00068075,0.00068075
48,25.8625,1.11709,1.72783,2.14182,0.00476,2.4017,0.33879,0.31624,0.0982,0.05615,0.32579,0.29444,0.09778,0.05448,1.04779,2.31879,3.18734,0.01236,0,0.000668375,0.000668375,0.000668375
49,26.3696,1.09429,1.66211,2.05851,0.00495,2.38353,0.33357,0.29222,0.10167,0.0626,0.33552,0.26444,0.0964,0.06047,1.10355,2.28486,3.14608,0.01361,0,0.000656,0.000656,0.000656
50,26.8746,1.11625,1.70846,2.05494,0.0048,2.26561,0.33357,0.29222,0.10167,0.0626,0.33552,0.26444,0.0964,0.06047,1.10355,2.28486,3.14608,0.01361,0,0.000643625,0.000643625,0.000643625
51,27.3883,1.08489,1.68274,1.96142,0.00461,2.23584,0.35955,0.32099,0.13875,0.08769,0.36059,0.41512,0.1391,0.0872,1.14593,2.41727,3.09951,0.01384,0,0.00063125,0.00063125,0.00063125
52,27.9271,1.07851,1.6515,1.96564,0.00474,2.24221,0.3689,0.34036,0.16956,0.10804,0.3728,0.35149,0.16002,0.11335,1.03944,2.37201,3.08917,0.01288,0,0.000618875,0.000618875,0.000618875
53,28.527,1.10935,1.73686,1.97526,0.00445,2.23385,0.3689,0.34036,0.16956,0.10804,0.3728,0.35149,0.16002,0.11335,1.03944,2.37201,3.08917,0.01288,0,0.0006065,0.0006065,0.0006065
